label,threshold,coverage,precision,recall,f1,n_accepted
Aggression,1.0001802878862678,0.896,1.0,1.0,1.0,112
Pregnancy,1.0000008253924146,0.328,1.0,1.0,1.0,41
Mental Health,1.000001671739492,0.28,1.0,0.9615384615384616,0.9803921568627451,35
Abuse,1.0000098491699347,0.824,0.9583333333333334,0.9583333333333334,0.9583333333333334,103
Medical,1.000020375003185,0.672,1.0,0.9117647058823529,0.9538461538461539,84
Discrimination,1.0000038889336924,0.752,0.5,1.0,0.6666666666666666,94
Sexual,2.0000059642826793,1.0,0.75,0.42857142857142855,0.5454545454545454,125
Not Applicable,1.7788038524681458,1.0,0.6666666666666666,0.4,0.5,125
