itemset,count
"('Mental Health', 'Pregnancy')",905
"('Medical', 'Pregnancy')",702
"('Abuse', 'Mental Health')",639
"('Medical', 'Mental Health')",588
"('Mental Health', 'Sexual')",270
"('Abuse', 'Sexual')",249
"('Discrimination', 'Mental Health')",171
"('Discrimination', 'Pregnancy')",122
"('Abuse', 'Pregnancy')",119
"('Abuse', 'Discrimination')",95
"('Discrimination', 'Medical')",81
"('Abuse', 'Aggression')",80
"('Aggression', 'Mental Health')",78
"('Pregnancy', 'Sexual')",67
"('Abuse', 'Medical')",61
"('Medical', 'Sexual')",49
"('Aggression', 'Sexual')",36
"('Discrimination', 'Sexual')",28
"('Aggression', 'Pregnancy')",18
"('Aggression', 'Discrimination')",17
"('Aggression', 'Medical')",7
"('Mental Health', 'Not Applicable')",1
"('Not Applicable', 'Pregnancy')",1
