PostIndex,TextPPL,TextTokCount
1,68.9845403928027,196
2,63.36849345383655,130
3,88.537998026727,95
4,20.416236284170832,798
5,33.87817900868177,182
6,118.4869895382207,426
7,12.809582814477922,642
8,26.78295031871769,220
9,28.535225513949854,196
10,26.889038729503213,534
11,45.91729443638646,764
12,61.74429456124178,64
13,31.27926737623631,567
14,37.84584954177798,176
15,32.23099360787879,421
16,26.85546404310223,1776
17,53.65030755562084,248
18,59.059734747667385,141
19,33.972627737080145,171
20,31.96153314817171,239
21,29.97086189009332,303
22,41.40447586381588,1196
23,32.57265271392851,549
24,31.129528655892678,897
25,27.604738479214575,127
26,37.66738761585439,66
27,36.155233938203494,233
28,23.847883489310608,158
29,41.7805107679367,230
30,23.081862728183236,219
31,33.48939427231118,237
32,60.843934198762696,58
33,25.244970972446286,114
34,40.93260513819864,131
35,77.38400884511853,74
36,21.20707556204521,190
37,103.24428049040803,144
38,36.873553717358156,143
39,43.90739672015565,407
40,91.41202594337798,138
41,26.73322115786161,47
42,112.15940429450374,119
43,24.843921271398482,515
44,26.466956385011127,153
45,46.06599423151256,34
46,39.72443713151872,401
47,51.266864151911086,114
48,52.84122135245954,65
49,46.96387014694863,339
50,23.293631753984005,267
51,151.8905173570552,198
52,66.529957832069,251
53,79.50835588287235,274
54,231.67894472871717,31
55,23.224685652697563,574
56,31.882920697750357,281
57,28.617855681647068,129
58,57.94694635926259,292
59,43.307901627721854,102
60,51.18248514716345,122
61,22.295357252554194,509
62,39.179252178451485,291
63,43.385980386620794,119
64,38.92101395974897,197
65,44.68941792814202,256
66,21.584109006205615,391
67,39.648164364485346,122
68,70.22776835898347,37
69,41.27707867589041,110
70,37.16837443297675,106
71,33.42719700288073,306
72,66.23320952265027,77
73,29.51126521958561,172
74,25.140153874628513,152
75,60.41139175748029,144
76,44.730148421138075,225
77,34.3083480559606,969
78,46.892520753881364,284
79,46.936288695445164,168
80,53.07375492465659,262
81,17.21394505426069,409
82,31.45413445020905,124
83,37.32446215007992,139
84,31.318765150144834,153
85,35.48890335508083,217
86,22.31965226590274,223
87,31.414555832454898,423
88,73.52060751966962,1641
89,33.136863141570785,535
90,32.55100074702171,180
91,26.252656684187833,458
92,20.13836889954191,172
93,28.002545528794553,576
94,25.103300570747777,377
95,50.060073909008665,1508
96,33.80744026297954,196
97,19.973868014747737,364
98,42.433439786869954,330
99,27.93831958865975,307
100,25.20911196082015,627
101,17.905659133080057,313
102,85.92521996175249,225
103,30.528935714801246,587
104,23.100448824396583,486
105,23.936644062214967,243
106,26.02372562625841,119
107,26.862799124728674,392
108,36.69249369546871,299
109,16.147141702206486,479
110,54.59729090382246,218
111,19.124184188649316,347
112,21.73961933418237,273
113,30.04723126873482,70
114,36.640950708002386,452
115,50.286469930999296,168
116,36.637639957775,798
117,60.843063825527786,69
118,41.38008713260139,301
119,23.165491066170674,380
120,21.589425533209116,343
121,46.97695901895902,1084
122,31.13868857604987,98
123,36.18190567714888,137
124,53.454601400633805,176
125,21.378246291368775,424
