which,tags,n_tokens,text,anger,fear,sadness,disgust,anticipation,trust,joy,surprise
TW,"['Medical', 'Pregnancy']",87,It has been 2 weeks since I have taken the medical abortion pills and after the first week I just stopped feeling any pain still bleeding but not too heavy and light but suddenly I’ve started feeling really bad pains again in my thighs and pelvic area exactly the pains I was going through when the abortion was happening is this normal to still feel pain even tho I went a week without any pain?? I started feeling pain yesterday as well and now today again,0.04597701149425287,0.13793103448275862,0.12643678160919541,0.08045977011494253,0.04597701149425287,0.04597701149425287,0.034482758620689655,0.04597701149425287
NA,['Not Applicable'],302,"Location: Georgia the US state not he country.

Hi!  I’m looking for legal advise for my parents who do not want “disturb family balance”.

A family member (who we are going to call Bert) offered my parents a car to purchase.  It was verbally agreed to purchase the car for “X” amount trough monthly payments and the car would remain under Berts name and he would provide yearly registration until car was paid off.  My parents made monthly payments and have cashapp proof.  When my parents knew they were getting close to paying off the car, they check in with Bert to see when they would get the title, but he came back with we didn’t agree to “X” and now the price “Y” which was an additional $3,000.   My parents caved and continued making payments to now meet now “Y” amount.  They again checked in when they knew they were meeting amount and Bert again said we didn’t agree to “Y”, we agreed to “Z” which was an additional $4,000.  My parents confronted him and would not make any more payments and demanded title.  He stopped taking their calls and has not provided yearly auto registration and now the car has been sitting due to them not having registration sticker. 

They don’t want to get a in a legal dispute because they are family and don’t want to cause family drama.  Is there anything they can do to get title?  They are not texters so there is no solid evidence of the amount they initially agreed to pay.  The only proof is the payments made on cashapp and the amount paid is more than what the car is worth.  Please let me know if you have any questions and thank you for your help! 
",0.0033112582781456954,0.0,0.0,0.0,0.006622516556291391,0.052980132450331126,0.0033112582781456954,0.0
